t_unix,ts_us,scan_count,watchdog_tripped,devices_healthy
1788834860,509917317,254950,0,1
1788834861,510927804,255455,0,1
1788834862,511939008,255961,0,1
1788834863,512947329,256465,0,1
1788834864,513957514,256970,0,1
1788834865,514969586,257476,0,1
1788834866,515977719,257980,0,1
1788834867,516989463,258486,0,1
1788834868,517999411,258991,0,1
1788834869,519009255,259496,0,1
1788834870,520019043,260001,0,1
1788834871,521029085,260506,0,1
1788834872,522039667,261011,0,1
1788834873,523045772,261514,0,1
1788834874,524057814,262020,0,1
1788834875,525065168,262524,0,1
1788834876,526073925,263028,0,1
1788834877,527083464,263533,0,1
1788834878,528099770,264041,0,1
1788834879,529111091,264547,0,1
1788834880,530117773,265050,0,1
1788834881,531129227,265556,0,1
1788834882,532137747,266060,0,1
1788834883,533149082,266566,0,1
1788834884,534157416,267070,0,1
1788834886,535165867,267574,0,1
1788834887,536177333,268080,0,1
1788834888,537189520,268586,0,1
1788834889,538201449,269092,0,1
1788834890,539213313,269598,0,1
1788834891,540225447,270104,0,1
1788834892,541237447,270610,0,1
1788834893,542251202,271117,0,1
1788834894,543259514,271621,0,1
1788834895,544271516,272127,0,1
1788834896,545281392,272632,0,1
1788834897,546291194,273137,0,1
1788834898,547301843,273642,0,1
1788834899,548311949,274147,0,1
1788834900,549323936,274653,0,1
1788834901,550337937,275160,0,1
1788834902,551351057,275667,0,1
1788834903,552361575,276172,0,1
1788834904,553369361,276676,0,1
1788834905,554379046,277181,0,1
1788834906,555387820,277685,0,1
1788834907,556395953,278189,0,1
1788834908,557409165,278696,0,1
1788834909,558421518,279202,0,1
1788834910,559433591,279708,0,1
1788834911,560443948,280213,0,1
1788834912,561455742,280719,0,1
1788834913,562465741,281224,0,1
1788834914,563473937,281728,0,1
1788834915,564483558,282233,0,1
1788834916,565495820,282739,0,1
1788834917,566509301,283246,0,1
1788834918,567521139,283752,0,1
1788834919,568533781,284258,0,1
1788834920,569545216,284764,0,1
1788834921,570553378,285268,0,1
1788834922,571565846,285774,0,1
1788834923,572577816,286280,0,1
1788834924,573587348,286785,0,1
1788834925,574599333,287291,0,1
1788834926,575607456,287795,0,1
1788834927,576617333,288300,0,1
1788834928,577627782,288805,0,1
1788834929,578637215,289310,0,1
1788834930,579647445,289815,0,1
1788834931,580655769,290319,0,1
1788834932,581669193,290826,0,1
1788834933,582677532,291330,0,1
1788834934,583687228,291835,0,1
1788834935,584697317,292340,0,1
1788834936,585707722,292845,0,1
1788834937,586715319,293349,0,1
1788834938,587725702,293854,0,1
1788834939,588735729,294359,0,1
1788834940,589747541,294865,0,1
1788834941,590761108,295372,0,1
1788834942,591769596,295876,0,1
1788834943,592781528,296382,0,1
1788834944,593789380,296886,0,1
1788834945,594797387,297390,0,1
1788834946,595807231,297895,0,1
1788834947,596815149,298399,0,1
1788834948,597831423,298907,0,1
1788834949,598845580,299414,0,1
1788834950,599857367,299920,0,1
1788834951,600865846,300424,0,1
1788834952,601877643,300930,0,1
1788834953,602885685,301434,0,1
1788834954,603895586,301939,0,1
1788834955,604905043,302444,0,1
1788834956,605913268,302948,0,1
1788834957,606926007,303454,0,1
1788834958,607933457,303958,0,1
1788834959,609049083,304516,0,1
1788834960,610057190,305020,0,1
1788834961,611063936,305523,0,1
1788834962,612073694,306028,0,1
1788834963,613081901,306532,0,1
1788834964,614095399,307039,0,1
1788834965,615107401,307545,0,1
1788834966,616117290,308050,0,1
1788834967,617125927,308554,0,1
1788834968,618135592,309059,0,1
1788834969,619145381,309564,0,1
1788834970,620157703,310070,0,1
1788834971,621163827,310573,0,1
1788834972,622175290,311079,0,1
1788834974,623185169,311584,0,1
1788834975,624197406,312090,0,1
1788834976,625211119,312597,0,1
1788834977,626219890,313101,0,1
1788834978,627231390,313607,0,1
1788834979,628243637,314113,0,1
1788834980,629249943,314616,0,1
1788834981,630257650,315120,0,1
1788834982,631265190,315624,0,1
1788834983,632275499,316129,0,1
1788834984,633289260,316636,0,1
1788834985,634295641,317139,0,1
1788834986,635303440,317643,0,1
1788834987,636311679,318147,0,1
1788834988,637323656,318653,0,1
1788834989,638335897,319159,0,1
1788834990,639349436,319666,0,1
1788834991,640361487,320172,0,1
1788834992,641375203,320679,0,1
1788834993,642383725,321183,0,1
1788834994,643397125,321690,0,1
1788834995,644405195,322194,0,1
1788834996,645413971,322698,0,1
1788834997,646423839,323203,0,1
1788834998,647433251,323708,0,1
1788834999,648441191,324212,0,1
1788835000,649447315,324715,0,1
1788835001,650453645,325218,0,1
1788835002,651461425,325722,0,1
1788835003,652471196,326227,0,1
1788835004,653483512,326733,0,1
1788835005,654493500,327238,0,1
1788835006,655501141,327742,0,1
1788835007,656509394,328246,0,1
1788835008,657521184,328752,0,1
1788835009,658529321,329256,0,1
1788835010,659541206,329762,0,1
1788835011,660549312,330266,0,1
1788835012,661559919,330771,0,1
1788835013,662569438,331276,0,1
1788835014,663579903,331781,0,1
1788835015,664593394,332288,0,1
1788835016,665699956,332841,0,1
1788835017,666707313,333345,0,1
1788835018,667721214,333852,0,1
1788835019,668731865,334357,0,1
1788835020,669745537,334864,0,1
1788835021,670755290,335369,0,1
1788835022,671769543,335876,0,1
1788835023,672779504,336381,0,1
1788835024,673791414,336887,0,1
1788835025,674803537,337393,0,1
1788835026,675815731,337898,0,1
1788835027,676829385,338405,0,1
1788835028,677741600,338861,0,1
1788835029,678851742,339416,0,1
1788835030,679861769,339921,0,1
1788835031,680871404,340426,0,1
1788835032,681879366,340930,0,1
1788835033,682889084,341435,0,1
1788835034,683899268,341940,0,1
1788835035,684909836,342445,0,1
1788835036,685921588,342951,0,1
1788835037,686929479,343455,0,1
1788835038,687941376,343961,0,1
1788835039,688951839,344466,0,1
1788835040,689959891,344970,0,1
1788835041,690971713,345476,0,1
1788835042,691981648,345981,0,1
1788835043,692991707,346486,0,1
1788835044,694005883,346993,0,1
1788835045,695015862,347498,0,1
1788835046,696027466,348004,0,1
1788835047,697039516,348510,0,1
1788835048,698051286,349016,0,1
1788835049,699063792,349522,0,1
1788835050,700077715,350029,0,1
1788835051,701087805,350534,0,1
1788835052,702097996,351039,0,1
1788835053,703113678,351547,0,1
1788835054,704125627,352053,0,1
1788835055,705133410,352557,0,1
1788835056,706141710,353061,0,1
1788835057,707151436,353566,0,1
