t,ts_us,scan_rate,rpm_master,rpm_follower,rpm_output,pos0,pos1,rev1,ferr1_cnt,ferr1_deg,engaged,ratio,sync_err_cnt,sync_err_deg,demo_auto,demo_speed,jog1,trip1,g_trip_fb,fault0,fault1,state0,state1,lockout,run_ok,ao1,ai1,valve_cmd_v,valve_fb_v,coupler_ok,servo_ok
20.35,49261405,499.9,0.0,-0.0,-0.0,-16,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
20.55,49465175,500.6,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
20.75,49666866,500.8,0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
20.95,49869166,499.3,0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
21.15,50071343,499.6,0.0,-0.0,-0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
21.35,50273383,499.9,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
21.55,50477445,499.8,-0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
21.76,50680990,501.1,0.0,-0.0,-0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
21.96,50882856,500.3,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
22.16,51085197,499.2,0.0,0.0,0.0,-12,-28,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
22.36,51288962,500.6,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
22.56,51489654,498.3,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
22.76,51693441,500.5,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
22.96,51895095,500.9,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
23.17,52096975,500.3,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
23.37,52299411,498.9,-0.0,-0.0,-0.0,-16,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
23.57,52503363,500.1,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
23.77,52705105,500.6,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
23.97,52909203,499.8,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
24.17,53111456,499.4,-0.0,0.0,0.0,-8,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
24.37,53312870,501.5,0.0,-0.0,-0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
24.57,53513552,498.3,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
24.78,53717394,500.4,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
24.98,53921114,500.7,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
25.18,54123471,499.1,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
25.38,54325558,499.8,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
25.58,54528767,501.9,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
25.78,54729605,497.9,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
25.98,54930900,501.8,0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
26.18,55131482,498.5,0.0,-0.0,-0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
26.38,55335015,501.1,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
26.59,55537367,499.1,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
26.79,55741025,500.8,-0.0,0.0,0.0,-12,-44,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
26.99,55942759,500.7,0.0,0.0,0.0,-4,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
27.19,56146759,500.0,0.0,-0.0,-0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
27.39,56347341,498.5,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
27.59,56548898,501.1,-0.0,-0.0,-0.0,-24,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
27.79,56750709,500.5,0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
27.99,56953156,498.9,0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
28.19,57154937,500.5,0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
28.4,57356678,500.6,-0.0,-0.0,-0.0,-24,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
28.6,57557407,498.2,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
28.8,57759207,500.5,-0.0,0.0,0.0,-12,-44,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
29.0,57960932,500.7,0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
29.2,58162695,500.6,0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
29.4,58363331,498.4,-0.0,-0.0,-0.0,-12,-44,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
29.6,58565457,499.7,0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
29.8,58769030,501.0,0.0,0.0,0.0,-8,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
30.0,58971304,499.3,-0.0,-0.0,-0.0,-16,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
30.21,59173440,499.7,-0.0,-0.0,-0.0,-20,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
30.41,59376877,501.4,0.0,0.0,0.0,-8,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
30.61,59579403,498.7,-0.0,-0.0,-0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
30.81,59781422,500.0,0.0,-0.0,-0.0,-16,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
31.01,59983156,500.7,-0.0,0.0,0.0,-16,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
31.21,60185225,499.8,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
31.41,60387341,499.7,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
31.61,60591029,500.8,0.0,0.0,0.0,-4,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
31.82,60795121,499.8,-0.0,-0.0,-0.0,-12,-44,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
